"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: channelCreator","Param: contentionFactor","Param: coroutines","Param: threads"
"benchmarks.ChannelBenchmark.producerConsumer","avgt",1,10,166.352347,9.579863,"ms/op",KOVAL_RENDEZVOUS_TWO_QUEUES_2,1,10000,1
"benchmarks.ChannelBenchmark.producerConsumer","avgt",1,10,427.808319,84.813783,"ms/op",KOVAL_RENDEZVOUS_TWO_QUEUES_2,1,10000,2
"benchmarks.ChannelBenchmark.producerConsumer","avgt",1,10,379.654476,177.420058,"ms/op",KOVAL_RENDEZVOUS_TWO_QUEUES_2,1,10000,4
"benchmarks.ChannelBenchmark.producerConsumer","avgt",1,10,495.119333,96.175468,"ms/op",KOVAL_RENDEZVOUS_TWO_QUEUES_2,1,10000,8
"benchmarks.ChannelBenchmark.producerConsumer","avgt",1,10,631.300813,139.052853,"ms/op",KOVAL_RENDEZVOUS_TWO_QUEUES_2,1,10000,12
"benchmarks.ChannelBenchmark.producerConsumer","avgt",1,10,939.870019,223.674396,"ms/op",KOVAL_RENDEZVOUS_TWO_QUEUES_2,1,10000,18
"benchmarks.ChannelBenchmark.producerConsumer","avgt",1,10,1034.004672,234.265425,"ms/op",KOVAL_RENDEZVOUS_TWO_QUEUES_2,1,10000,24
"benchmarks.ChannelBenchmark.producerConsumer","avgt",1,10,1176.750500,272.559069,"ms/op",KOVAL_RENDEZVOUS_TWO_QUEUES_2,1,10000,36
"benchmarks.ChannelBenchmark.producerConsumer","avgt",1,10,1375.903477,161.759357,"ms/op",KOVAL_RENDEZVOUS_TWO_QUEUES_2,1,10000,48
"benchmarks.ChannelBenchmark.producerConsumer","avgt",1,10,1684.189630,111.348572,"ms/op",KOVAL_RENDEZVOUS_TWO_QUEUES_2,1,10000,72
"benchmarks.ChannelBenchmark.producerConsumer","avgt",1,10,1801.091579,152.055185,"ms/op",KOVAL_RENDEZVOUS_TWO_QUEUES_2,1,10000,98
"benchmarks.ChannelBenchmark.producerConsumer","avgt",1,10,1714.149501,29.002875,"ms/op",KOVAL_RENDEZVOUS_TWO_QUEUES_2,1,10000,144
"benchmarks.ChannelBenchmark.producerConsumer","avgt",1,10,1706.834663,20.451257,"ms/op",KOVAL_RENDEZVOUS_TWO_QUEUES_2,1,10000,160
"benchmarks.ChannelBenchmark.producerConsumer","avgt",1,10,1712.262691,38.169139,"ms/op",KOVAL_RENDEZVOUS_TWO_QUEUES_2,1,10000,200
"benchmarks.ChannelBenchmark.producerConsumer","avgt",1,10,1696.245306,34.525376,"ms/op",KOVAL_RENDEZVOUS_TWO_QUEUES_2,1,10000,250
"benchmarks.ChannelBenchmark.producerConsumer","avgt",1,10,175.985582,9.464299,"ms/op",KOVAL_RENDEZVOUS_TWO_QUEUES_2,2,10000,1
"benchmarks.ChannelBenchmark.producerConsumer","avgt",1,10,392.039785,55.827330,"ms/op",KOVAL_RENDEZVOUS_TWO_QUEUES_2,2,10000,2
